iso_code,country,2023_last_updated,2022_population,area_sq_km,land_area_sq_km,density_/sq_km,growth_rate,world_%,rank
TWN,Taiwan,"23,925,649","23,893,394",36.2K,36.2K,661,0.13%,0.3%,57
MLI,Mali,"23,353,021","22,593,590",1.2M,1.2M,19,3.1%,0.29%,58
BFA,Burkina Faso,"23,300,262","22,673,762",273K,273.6K,85,2.55%,0.29%,59
SYR,Syria,"23,321,667","22,125,249",185.2K,183.6K,126,4.98%,0.29%,60
LKA,Sri Lanka,"21,898,325","21,832,143",65.6K,61.9K,354,0.28%,0.27%,61
MWI,Malawi,"20,976,309","20,405,317",118.5K,94.3K,222,2.58%,0.26%,62
ZMB,Zambia,"20,616,668","20,017,675",752.6K,743.4K,28,2.76%,0.26%,63
ROU,Romania,"19,865,655","19,659,267",238.4K,230.1K,86,1.19%,0.25%,64
CHL,Chile,"19,631,963","19,603,733",756.1K,743.5K,26,0.13%,0.25%,65
KAZ,Kazakhstan,"19,624,298","19,397,998",2.7M,2.7M,7,1.08%,0.24%,66
TCD,Chad,"18,325,499","17,723,315",1.3M,1.3M,15,3.13%,0.23%,67
ECU,Ecuador,"18,206,304","18,001,000",276.8K,248.4K,73,1.05%,0.23%,68
SOM,Somalia,"18,189,782","17,597,511",637.7K,627.3K,29,3.1%,0.23%,69
GTM,Guatemala,"18,113,119","17,843,908",108.9K,107.2K,169,1.39%,0.23%,70
SEN,Senegal,"17,801,130","17,316,449",196.7K,192.5K,92,2.58%,0.22%,71
NLD,Netherlands,"17,622,781","17,564,014",41.9K,33.7K,523,0.31%,0.22%,72
KHM,Cambodia,"16,959,855","16,767,842",181K,176.5K,96,1.06%,0.21%,73
ZWE,Zimbabwe,"16,694,939","16,320,537",390.8K,386.9K,43,2.11%,0.21%,74
GIN,Guinea,"14,218,560","13,859,341",245.9K,245.7K,58,2.39%,0.18%,75
RWA,Rwanda,"14,121,312","13,776,698",26.3K,24.7K,571,2.31%,0.18%,76
BEN,Benin,"13,743,149","13,352,864",112.6K,112.8K,122,2.7%,0.17%,77
BDI,Burundi,"13,267,825","12,889,576",27.8K,25.7K,516,2.71%,0.17%,78
TUN,Tunisia,"12,467,451","12,356,117",163.6K,155.4K,80,0.83%,0.16%,79
BOL,Bolivia,"12,403,600","12,224,110",1.1M,1.1M,11,1.35%,0.15%,80
HTI,Haiti,"11,736,628","11,584,996",27.8K,27.6K,425,1.21%,0.15%,81
BEL,Belgium,"11,688,513","11,655,930",30.5K,30.3K,386,0.26%,0.15%,82
JOR,Jordan,"11,340,743","11,285,869",89.3K,88.8K,128,0.45%,0.14%,83
DOM,Dominican Republic,"11,341,409","11,228,821",48.7K,48.3K,235,0.93%,0.14%,84
CUB,Cuba,"11,192,867","11,212,191",109.9K,103.8K,108,-0.16%,0.14%,85
SSD,South Sudan,"11,104,088","10,913,164",619.7K,631.9K,18,1.61%,0.14%,86
SWE,Sweden,"10,617,359","10,549,347",450.3K,407.3K,26,0.59%,0.13%,87
HND,Honduras,"10,607,772","10,432,860",112.5K,111.9K,95,1.54%,0.13%,88
CZE,Czech Republic,"10,496,086","10,493,986",78.9K,77.2K,136,0.01%,0.13%,89
AZE,Azerbaijan,"10,417,133","10,358,074",86.6K,82.6K,126,0.53%,0.13%,90
GRC,Greece,"10,338,113","10,384,971",132K,128.9K,80,-0.42%,0.13%,91
PNG,Papua New Guinea,"10,345,487","10,142,619",462.8K,452.9K,23,1.85%,0.13%,92
PRT,Portugal,"10,245,496","10,270,865",92.1K,91.6K,112,-0.23%,0.13%,93
HUN,Hungary,"10,141,210","9,967,308",93K,91.3K,111,1.9%,0.13%,94
TJK,Tajikistan,"10,159,363","9,952,787",143.1K,138.8K,73,1.92%,0.13%,95
ARE,United Arab Emirates,"9,523,199","9,441,129",83.6K,71K,134,0.8%,0.12%,96
BLR,Belarus,"9,494,547","9,534,954",207.6K,203K,47,-0.39%,0.12%,97
ISR,Israel,"9,185,857","9,038,309",20.8K,21.6K,424,1.51%,0.11%,98
TGO,Togo,"9,070,937","8,848,699",56.8K,54.4K,166,2.32%,0.11%,99
AUT,Austria,"8,960,542","8,939,617",83.9K,82.5K,109,0.22%,0.11%,100
CHE,Switzerland,"8,801,415","8,740,472",41.3K,39.5K,223,0.64%,0.11%,101
SLE,Sierra Leone,"8,806,648","8,605,718",71.7K,72.2K,122,2.15%,0.11%,102
LAO,Laos,"7,642,480","7,529,475",236.8K,230.8K,33,1.39%,0.1%,103
HKG,Hong Kong,"7,492,136","7,488,865",1.1K,1.1K,"7,135",0.04%,0.09%,104
SRB,Serbia,"7,143,804","7,221,365",88.4K,87.5K,82,-1%,0.09%,105
NIC,Nicaragua,"7,054,483","6,948,392",130.4K,120.3K,59,1.41%,0.09%,106
LBY,Libya,"6,894,716","6,812,341",1.8M,1.8M,4,1.12%,0.09%,107
PRY,Paraguay,"6,868,643","6,780,744",406.8K,397.3K,17,1.19%,0.09%,108
KGZ,Kyrgyzstan,"6,744,048","6,630,623",200K,191.8K,35,1.58%,0.08%,109
BGR,Bulgaria,"6,680,598","6,781,953",110.9K,108.6K,62,-1.39%,0.08%,110
TKM,Turkmenistan,"6,522,955","6,430,770",488.1K,469.9K,14,1.33%,0.08%,111
SLV,El Salvador,"6,367,580","6,336,392",21K,20.7K,307,0.45%,0.08%,112
COG,Republic Of The Congo,"6,118,206","5,970,424",342K,341.5K,18,2.29%,0.08%,113
SGP,Singapore,"6,017,887","5,975,689",710,718,"8,377",0.65%,0.08%,114
DNK,Denmark,"5,913,286","5,882,261",43.1K,40K,148,0.49%,0.07%,115
SVK,Slovakia,"5,786,498","5,643,453",49K,49K,118,2.69%,0.07%,116
CAF,Central African Republic,"5,756,289","5,579,144",623K,623K,9,2.92%,0.07%,117
FIN,Finland,"5,545,739","5,540,745",338.4K,303.9K,18,0.09%,0.07%,118
NOR,Norway,"5,477,788","5,434,319",323.8K,364.3K,15,0.74%,0.07%,119
LBR,Liberia,"5,428,132","5,302,681",111.4K,96.3K,56,2.18%,0.07%,120
PSE,Palestine,"5,381,513","5,250,072",6.2K,6K,892,2.31%,0.07%,121
LBN,Lebanon,"5,342,065","5,489,739",10.5K,10.2K,523,-2.47%,0.07%,122
NZL,New Zealand,"5,231,528","5,185,288",270.5K,263.3K,20,0.83%,0.07%,123
CRI,Costa Rica,"5,215,073","5,180,829",51.1K,51.1K,102,0.6%,0.07%,124
IRL,Ireland,"5,059,835","5,023,109",70.3K,68.9K,73,0.67%,0.06%,125
MRT,Mauritania,"4,873,799","4,736,139",1M,1M,5,2.68%,0.06%,126
OMN,Oman,"4,650,184","4,576,298",309.5K,309.5K,15,1.49%,0.06%,127
PAN,Panama,"4,473,097","4,408,581",75.4K,74.2K,60,1.35%,0.06%,128
KWT,Kuwait,"4,313,536","4,268,873",17.8K,17.8K,242,0.97%,0.05%,129
HRV,Croatia,"4,006,771","4,030,358",56.6K,56K,72,-0.54%,0.05%,130
ERI,Eritrea,"3,754,438","3,684,032",117.6K,121K,31,1.76%,0.05%,131
GEO,Georgia,"3,726,964","3,744,385",69.7K,69.5K,54,-0.43%,0.05%,132
MNG,Mongolia,"3,451,112","3,398,366",1.6M,1.6M,2,1.44%,0.04%,133
MDA,Moldova,"3,425,648","3,272,996",33.8K,32.9K,104,4.98%,0.04%,134
URY,Uruguay,"3,423,108","3,422,794",181K,175K,20,0.01%,0.04%,135
PRI,Puerto Rico,"3,261,105","3,252,407",8.9K,8.9K,368,0.24%,0.04%,136
BIH,Bosnia And Herzegovina,"3,209,265","3,233,526",51.2K,51.2K,63,-0.7%,0.04%,137
ALB,Albania,"2,831,648","2,842,321",28.7K,27.4K,103,-0.35%,0.04%,138
JAM,Jamaica,"2,825,544","2,827,377",11K,10.8K,261,-0.06%,0.04%,139
ARM,Armenia,"2,777,970","2,780,469",29.7K,28.5K,98,-0.09%,0.03%,140
GMB,Gambia,"2,778,968","2,705,992",10.7K,10.1K,274,2.48%,0.03%,141
LTU,Lithuania,"2,716,243","2,750,055",65.3K,62.6K,43,-1.15%,0.03%,142
QAT,Qatar,"2,718,237","2,695,122",11.6K,11.5K,236,0.79%,0.03%,143
BWA,Botswana,"2,679,043","2,630,296",582K,566.7K,5,1.71%,0.03%,144
NAM,Namibia,"2,607,336","2,567,012",825.6K,823.3K,3,1.45%,0.03%,145
GAB,Gabon,"2,440,521","2,388,992",267.7K,257.7K,9,1.99%,0.03%,146
LSO,Lesotho,"2,332,427","2,305,825",30.4K,30.4K,77,1.06%,0.03%,147
GNB,Guinea Bissau,"2,154,533","2,105,566",36.1K,28.1K,76,2.15%,0.03%,148
SVN,Slovenia,"2,119,675","2,119,844",20.3K,20.1K,105,-0.01%,0.03%,149
MKD,North Macedonia,"2,085,152","2,093,599",25.7K,25.2K,83,-0.38%,0.03%,150
LVA,Latvia,"1,828,629","1,850,651",64.6K,62.2K,29,-1.1%,0.02%,151
GNQ,Equatorial Guinea,"1,718,099","1,674,908",28.1K,28.1K,61,2.37%,0.02%,152
TTO,Trinidad And Tobago,"1,535,201","1,531,044",5.1K,5.1K,299,0.25%,0.02%,153
BHR,Bahrain,"1,486,564","1,472,233",765,785,"1,892",0.9%,0.02%,154
TLS,Timor Leste,"1,362,178","1,341,296",14.9K,14.9K,91,1.44%,0.02%,155
EST,Estonia,"1,322,501","1,326,062",45.2K,42.8K,31,-0.25%,0.02%,156
MUS,Mauritius,"1,300,557","1,299,469",2K,2K,641,0.08%,0.02%,157
CYP,Cyprus,"1,260,929","1,251,488",9.3K,9.2K,136,0.69%,0.02%,158
DJI,Djibouti,"1,137,773","1,120,849",23.2K,23.2K,49,1.39%,0.01%,160
RU,Reunion,"982,323","974,052",2.5K,2.5K,391,0.8%,0.01%,161
FJI,Fiji,"936,902","929,766",18.3K,18.3K,51,0.71%,0.01%,162
COM,Comoros,"853,393","836,774",1.9K,1.9K,458,1.83%,0.01%,163
GUY,Guyana,"814,361","808,726",215K,196.8K,4,0.63%,0.01%,164
BTN,Bhutan,"787,951","782,455",38.4K,38.1K,21,0.64%,0.01%,165
SLB,Solomon Islands,"741,742","724,273",28.9K,28K,26,2.23%,0.01%,166
MAC,Macau,"704,940","695,168",33,33,"21,403",1.29%,0.01%,167
LUX,Luxembourg,"655,295","647,599",2.6K,2.6K,254,1.11%,0.01%,168
MNE,Montenegro,"626,485","627,082",13.8K,13.4K,47,-0.1%,0.01%,169
SUR,Suriname,"623,763","618,040",163.8K,156K,4,0.84%,0.01%,170
CPV,Cape Verde,"599,209","593,149",4K,4K,148,0.93%,0.01%,171
ESH,Western Sahara,"588,314","575,986",266K,266K,2,1.96%,0.01%,172
MLT,Malta,"535,328","533,286",316,320,"1,672",0.33%,0.01%,173
MDV,Maldives,"520,757","523,787",300,300,"1,737",-0.53%,0.01%,174
BRN,Brunei,"452,788","449,002",5.8K,5.3K,86,0.78%,0.01%,175
BHS,Bahamas,"412,887","409,984",13.9K,10K,41,0.64%,0.01%,176
BLZ,Belize,"411,352","405,272",23K,22.8K,18,1.37%,0.01%,177
ISL,Iceland,"375,582","372,899",103K,100.8K,4,0.65%,0%,179
MTQ,Martinique,"366,981","367,507",1.1K,1.1K,325,-0.14%,0%,180
MYT,Mayotte,"336,786","326,101",374,374,898,3.03%,0%,181
VUT,Vanuatu,"335,033","326,740",12.2K,12.2K,27,2.38%,0%,182
PYF,French Polynesia,"309,136","306,279",4.2K,3.5K,89,0.85%,0%,184
NCL,New Caledonia,"293,255","289,950",18.6K,18.3K,16,1.05%,0%,185
BRB,Barbados,"281,995","281,635",430,430,656,0.13%,0%,186
STP,Sao Tome And Principe,"232,120","227,380",964,960,242,1.97%,0%,187
WSM,Samoa,"225,945","222,382",2.8K,2.8K,81,1.48%,0%,188
CUW,Curacao,"192,077","191,163",444,444,433,0.48%,0%,189
LCA,Saint Lucia,"180,251","179,857",616,610,295,0.22%,0%,190
GUM,Guam,"172,952","171,774",549,540,320,0.69%,0%,191
KIR,Kiribati,"133,779","131,232",811,810,165,1.74%,0%,192
GRD,Grenada,"126,183","125,438",344,340,371,0.59%,0%,193
FSM,Micronesia,"115,224","114,164",702,700,165,0.93%,0%,194
TON,Tonga,"107,773","106,858",747,720,150,0.86%,0%,196
SYC,Seychelles,"107,660","107,118",452,460,234,0.51%,0%,197
ABW,Aruba,"106,277","106,445",180,180,590,-0.16%,0%,198
VCT,Saint Vincent And The Grenadines,"103,698","103,948",389,390,266,-0.24%,0%,199
VIR,United States Virgin Islands,"98,750","99,465",347,347,285,-0.72%,0%,200
ATG,Antigua And Barbuda,"94,298","93,763",442,440,214,0.57%,0%,201
IMN,Isle Of Man,"84,710","84,519",572,570,149,0.23%,0%,202
AND,Andorra,"80,088","79,824",468,470,170,0.33%,0%,203
DMA,Dominica,"73,040","72,737",751,750,97,0.42%,0%,204
CYM,Cayman Islands,"69,310","68,706",264,240,289,0.88%,0%,205
BMU,Bermuda,"64,069","64,184",54,54,"1,186",-0.18%,0%,206
GRL,Greenland,"56,643","56,466",2.2M,410.4K,0.14,0.31%,0%,208
FRO,Faroe Islands,"53,270","53,090",1.4K,1.4K,39,0.34%,0%,209
MNP,Northern Mariana Islands,"49,796","49,551",464,460,108,0.49%,0%,210
KNA,Saint Kitts And Nevis,"47,755","47,657",261,260,184,0.21%,0%,211
TCA,Turks And Caicos Islands,"46,062","45,703",948,948,49,0.79%,0%,212
MAF,Sint Maarten,"44,222","44,175",34,34,"1,301",0.11%,0%,213
ASM,American Samoa,"43,914","44,273",199,200,220,-0.81%,0%,214
MHL,Marshall Islands,"41,996","41,569",181,180,233,1.03%,0%,215
LIE,Liechtenstein,"39,584","39,327",160,160,247,0.65%,0%,216
MCO,Monaco,"36,297","36,469",2,2,"18,149",-0.47%,0%,217
SMR,San Marino,SMR,"33,660",61,60,561,-0.05%,0%,218
GIB,Gibraltar,"32,688","32,649",7,7,"4,807",0.12%,0%,219
MAF,Saint Martin,"32,077","31,791",53,50,642,0.9%,0%,220
PLW,Palau,PLW,"18,055",459,460,39,0.02%,0%,222
COK,Cook Islands,"17,044","17,011",240,240,71,0.19%,0%,223
AIA,Anguilla,"15,899","15,857",91,91,175,0.26%,0%,224
NRU,Nauru,"12,780","12,668",21,20,639,0.88%,0%,225
WLF,Wallis And Futuna,"11,502","11,572",274,274,42,-0.6%,0%,226
TUV,Tuvalu,"11,396","11,312",26,30,380,0.74%,0%,227
BL,Saint Barthelemy,BL,"10,967",21,25,440,0.25%,0%,228
SPM,Saint Pierre And Miquelon,SPM,"5,862",242,242,24,-0.38%,SPM,229
MSR,Montserrat,MSR,"4,390",102,102,43,-0.09%,MSR,230
FLK,Falkland Islands,FLK,"3,780",12.2K,12.2K,0.31,0.29%,FLK,231
NIU,Niue,"1,935","1,934",261,261,7,0.05%,NIU,232
TKL,Tokelau,TKL,"1,871",12,10,189,1.18%,TKL,233
VAT,Vatican City,VAT,510,< 1,< 1,"1,177",1.57%,VAT,234
